number_of_transactions,serial_time
1000,1.2608141899108887
1200,1.6769349575042725
1400,1.8225970268249512
1600,2.2000958919525146
1800,2.4181714057922363
2000,2.915388345718384
2200,2.846348285675049
2400,3.2191925048828125
2600,3.6142680644989014
2800,3.973830461502075
3000,4.407217264175415
3200,4.855701923370361
3400,5.190763711929321
3600,5.182432174682617
3800,7.086449384689331
4000,11.080955266952515
4200,6.160318851470947
4400,6.47522234916687
4600,6.901023864746094
4800,7.280344486236572
5000,7.331437826156616
5200,7.189079523086548
5400,7.60360860824585
5600,7.925461053848267
5800,7.940006494522095
6000,8.018179893493652
6200,8.974479675292969
6400,8.209434032440186
6600,8.9472815990448
6800,9.381699562072754
7000,9.573341608047485
7200,9.307538509368896
7400,10.076472282409668
7600,10.19685673713684
7800,10.648642539978027
8000,10.884597778320312
8200,11.748755931854248
8400,11.359787702560425
8600,12.070885181427002
8800,11.700890302658081
9000,13.132898807525635
9200,13.03979754447937
9400,12.884085655212402
9600,13.912044763565063
9800,13.768349409103394
10000,14.2659010887146
10200,14.601320743560791
10400,14.653035163879395
10600,14.623482942581177
10800,15.399639129638672
11000,14.292925596237183
11200,15.496573209762573
11400,16.014999389648438
11600,15.648826837539673
11800,16.082327127456665
12000,15.470482110977173
12200,16.55141305923462
12400,16.897805213928223
12600,16.553444623947144
12800,16.9600830078125
13000,17.37325692176819
13200,16.863414764404297
13400,17.952966451644897
13600,17.865297317504883
13800,18.73987054824829
14000,19.19458818435669
14200,19.47567057609558
14400,19.12501049041748
14600,19.655164003372192
14800,19.904844760894775
15000,19.00934863090515
15200,19.125596523284912
15400,20.544309854507446
15600,23.104775428771973
15800,23.521117687225342
16000,23.767106533050537
16200,22.9094633102417
16400,22.027443885803223
16600,25.855258464813232
16800,24.664770364761353
17000,25.139832019805908
17200,25.710965156555176
17400,25.463650703430176
17600,25.984172344207764
17800,25.005008459091187
18000,27.23188042640686
18200,27.868308782577515
18400,26.484874725341797
18600,27.349762678146362
18800,27.05709719657898
19000,29.926820755004883
19200,30.831485271453857
19400,30.226995706558228
19600,29.904784202575684
19800,30.85158395767212
